MATERIAL	SHEETLENGTH	SHEETWIDTH	SHEETTHICKNESS	GRAIN	GRAINSTR	X	Y	ROTATION	N	ID	PANELLENGTH	PANELWIDTH	DESCRIPTION	MATERIALNAME	EDGE_L1	EDGE_L2	EDGE_B1	EDGE_B2	CAM2	OPLEG2	PROJECT	SHEET	DESC1	DESC2	DESC3	DESC4	DESC5	DESC6	DESC7	DESC8	DESC9	DESC10
H1145_-_ST10_-_Chêne_Bardolino_naturel_Zijdewit_19	2500	1250	19	1	Langs	2165	299	0	1	20074	660	588	Verschuren - K1 - Front - 20074	H1145 - ST10 - Chêne Bardolino naturel Zijdewit	AFS 1mm Eik Fineer	AFS 1mm Eik Fineer	AFS 1mm Eik Fineer	AFS 1mm Eik Fineer	00020074_2.cix		P-20	H1145_-_ST10_-_Chêne_Bardolino_naturel_Zijdewit_19#02										
H1145_-_ST10_-_Chêne_Bardolino_naturel_Zijdewit_19	2500	1250	19	1	Langs	1641	951	0	2	20464	1708	588	Verschuren - K4 - Front - 20464	H1145 - ST10 - Chêne Bardolino naturel Zijdewit	AFS 1mm Eik Fineer	AFS 1mm Eik Fineer	AFS 1mm Eik Fineer	AFS 1mm Eik Fineer	00020464_2.cix		P-20	H1145_-_ST10_-_Chêne_Bardolino_naturel_Zijdewit_19#02										
