MATERIAL	SHEETLENGTH	SHEETWIDTH	SHEETTHICKNESS	GRAIN	GRAINSTR	X	Y	ROTATION	N	ID	PANELLENGTH	PANELWIDTH	DESCRIPTION	MATERIALNAME	EDGE_L1	EDGE_L2	EDGE_B1	EDGE_B2	CAM2	OPLEG2	PROJECT	SHEET	DESC1	DESC2	DESC3	DESC4	DESC5	DESC6	DESC7	DESC8	DESC9	DESC10
White_18	3050	1300	18	0	Geen	2231	1016	0	1	22290	536	558,5	Verschuren - K1 - Losse Legplank - 22290	White	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	00022290_2.cix		P-20	White_18#05										
White_18	3050	1300	18	0	Geen	1207	1026	270	2	12538	538	528	Verschuren - K1 - Top - 12538	White	AFS 0.8mm Fin231	NA	NA	NA	00012538_2.cix		P-20	White_18#05										
White_18	3050	1300	18	0	Geen	2235	284	270	3	13225	558	528	Verschuren - K2 - Top - 13225	White	AFS 0.8mm Fin231	NA	NA	NA	00013225_2.cix		P-20	White_18#05										
White_18	3050	1300	18	0	Geen	1697	276	270	4	13912	543	528	Verschuren - K3 - Top - 13912	White	AFS 0.8mm Fin231	NA	NA	NA	00013912_2.cix		P-20	White_18#05										
White_18	3050	1300	18	0	Geen	2777	284	0	5	22462	536	558,5	Verschuren - K4 - Losse Legplank - 22462	White	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	00022462_2.cix		P-20	White_18#05										
White_18	3050	1300	18	0	Geen	2777	1016	180	6	22473	536	558,5	Verschuren - K4 - Losse Legplank - 22473	White	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	00022473_2.cix		P-20	White_18#05										
White_18	3050	1300	18	0	Geen	1717	1023	90	7	23830	545	472	Verschuren - K5 - Tabletlade - 23830	White	x	x	x	x	00023830_2.cix		P-20	White_18#05										
White_18	3050	1300	18	0	Geen	1198	276	270	8	21756	543	450	Verschuren - K6 - Top - 21756	White	AFS 0.8mm Fin231	NA	NA	NA	00021756_2.cix	OPLEG_2	P-20	White_18#05										
