MATERIAL	SHEETLENGTH	SHEETWIDTH	SHEETTHICKNESS	GRAIN	GRAINSTR	X	Y	ROTATION	N	ID	PANELLENGTH	PANELWIDTH	DESCRIPTION	MATERIALNAME	EDGE_L1	EDGE_L2	EDGE_B1	EDGE_B2	CAM2	CAM3	PROJECT	SHEET	DESC1	DESC2	DESC3	DESC4	DESC5	DESC6	DESC7	DESC8	DESC9	DESC10
Melamine_08	2850	2100	8	0	Geen	410	1179	0	1	1821	800	582	K1 - Rug - 1821	Melamine_08					0001821_2.cix		P2026.09	Melamine_08#01	Nr bon commande	Extra texte 2	Extra texte 3	Extra texte 4	Extra texte 5	Extra texte 6	Extra texte 7	Extra texte 8	Extra texte 9	Extra texte 10
Melamine_08	2850	2100	8	0	Geen	2086	1799	0	2	4698	800	582	K2 - Rug - 4698	Melamine_08					0004698_2.cix		P2026.09	Melamine_08#01	Nr bon commande	Extra texte 2	Extra texte 3	Extra texte 4	Extra texte 5	Extra texte 6	Extra texte 7	Extra texte 8	Extra texte 9	Extra texte 10
Melamine_08	2850	2100	8	0	Geen	1248	1799	0	3	4857	800	582	K2 - Rug - 4857	Melamine_08					0004857_2.cix		P2026.09	Melamine_08#01	Nr bon commande	Extra texte 2	Extra texte 3	Extra texte 4	Extra texte 5	Extra texte 6	Extra texte 7	Extra texte 8	Extra texte 9	Extra texte 10
Melamine_08	2850	2100	8	0	Geen	410	1799	0	4	5016	800	582	K2 - Rug - 5016	Melamine_08					0005016_2.cix	0005016_3.cix	P2026.09	Melamine_08#01	Nr bon commande	Extra texte 2	Extra texte 3	Extra texte 4	Extra texte 5	Extra texte 6	Extra texte 7	Extra texte 8	Extra texte 9	Extra texte 10
