MATERIAL	SHEETLENGTH	SHEETWIDTH	SHEETTHICKNESS	GRAIN	GRAINSTR	X	Y	ROTATION	N	ID	PANELLENGTH	PANELWIDTH	DESCRIPTION	MATERIALNAME	EDGE_L1	EDGE_L2	EDGE_B1	EDGE_B2	CAM2	OPLEG2	PROJECT	SHEET	DESC1	DESC2	DESC3	DESC4	DESC5	DESC6	DESC7	DESC8	DESC9	DESC10
White_18	3050	1300	18	0	Geen	1973	284	90	1	13123	558	568,5	Verschuren - K2 - Bodem - 13123	White	AFS 0.8mm Fin231	NA	NA	NA	00013123_2.cix	OPLEG_2	P-20	White_18#03										
White_18	3050	1300	18	0	Geen	842	1011	180	2	15395	1674	568,5	Verschuren - K4 - Zijkant links - 15395	White	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	00015395_2.cix		P-20	White_18#03										
White_18	3050	1300	18	0	Geen	2766	1011	0	3	16196	558	568,5	Verschuren - K5 - Bodem - 16196	White	AFS 0.8mm Fin231	NA	NA	NA	00016196_2.cix		P-20	White_18#03										
White_18	3050	1300	18	0	Geen	2361	1020	270	4	23760	550	207,5	Verschuren - K5 - Ladefront - 23760	White	x	x	x	x	00023760_2.cix		P-20	White_18#03										
White_18	3050	1300	18	0	Geen	1968	1017	270	5	23630	556	558,5	Verschuren - K5 - Losse Legplank - 23630	White	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	00023630_2.cix		P-20	White_18#03										
White_18	3050	1300	18	0	Geen	2761	284	270	6	16298	558	568,5	Verschuren - K5 - Top - 16298	White	AFS 0.8mm Fin231	NA	NA	NA	00016298_2.cix		P-20	White_18#03										
White_18	3050	1300	18	0	Geen	842	289	180	7	16172	1674	568,5	Verschuren - K5 - Zijkant links - 16172	White	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	00016172_2.cix		P-20	White_18#03										
