MATERIAL	SHEETLENGTH	SHEETWIDTH	SHEETTHICKNESS	GRAIN	GRAINSTR	X	Y	ROTATION	N	ID	PANELLENGTH	PANELWIDTH	DESCRIPTION	MATERIALNAME	EDGE_L1	EDGE_L2	EDGE_B1	EDGE_B2	CAM2	OPLEG2	PROJECT	SHEET
White_18	3050	1300	18	0	Geen	2761	372	270	1	12412	734	568,5	Verschuren - K1 - Zijkant links - 12412	White	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	00012412_2.cix		P-20	White_18#02
White_18	3050	1300	18	0	Geen	2056	289	180	2	12424	734	568,5	Verschuren - K1 - Zijkant rechts - 12424	White	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	00012424_2.cix		P-20	White_18#02
White_18	3050	1300	18	0	Geen	2056	1011	0	3	13111	734	568,5	Verschuren - K2 - Zijkant rechts - 13111	White	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	00013111_2.cix		P-20	White_18#02
White_18	3050	1300	18	0	Geen	2761	1020	270	4	13810	543	568,5	Verschuren - K3 - Bodem - 13810	White	AFS 0.8mm Fin231	NA	NA	NA	00013810_2.cix	OPLEG_2	P-20	White_18#02
White_18	3050	1300	18	0	Geen	842	289	0	5	15407	1674	568,5	Verschuren - K4 - Zijkant rechts - 15407	White	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	00015407_2.cix		P-20	White_18#02
White_18	3050	1300	18	0	Geen	835	608	180	6	21802	543	50	Verschuren - K6 - Top Vert - 21802	White					00021802_2.cix		P-20	White_18#02
White_18	3050	1300	18	0	Geen	842	1011	180	7	16949	1674	568,5	Verschuren - K6 - Zijkant links - 16949	White	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	00016949_2.cix		P-20	White_18#02
White_18	3050	1300	18	0	Geen	553	583	270	8	22132	50	548,5	Verschuren - K6 - Zijkant links - 22132	White	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	00022132_2.cix		P-20	White_18#02
White_18	3050	1300	18	0	Geen	553	667	90	9	22143	50	548,5	Verschuren - K6 - Zijkant rechts - 22143	White	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	00022143_2.cix		P-20	White_18#02
