MATERIAL	SHEETLENGTH	SHEETWIDTH	SHEETTHICKNESS	GRAIN	GRAINSTR	X	Y	ROTATION	N	ID	PANELLENGTH	PANELWIDTH	DESCRIPTION	MATERIALNAME	EDGE_L1	EDGE_L2	EDGE_B1	EDGE_B2	CAM2	OPLEG2	PROJECT	SHEET
H1145_-_ST10_-_Chêne_Bardolino_naturel_Zijdewit_19	2500	1250	19	1	Langs	2165	300	0	1	19587	660	590	Verschuren - K2 - Front - 19587	H1145 - ST10 - Chêne Bardolino naturel Zijdewit	AFS 1mm Eik Fineer	AFS 1mm Eik Fineer	AFS 1mm Eik Fineer	AFS 1mm Eik Fineer	00019587_2.cix		P-20	H1145_-_ST10_-_Chêne_Bardolino_naturel_Zijdewit_19#01
H1145_-_ST10_-_Chêne_Bardolino_naturel_Zijdewit_19	2500	1250	19	1	Langs	2165	950	0	2	18353	660	590,9	Verschuren - K3 - Front - 18353	H1145 - ST10 - Chêne Bardolino naturel Zijdewit	AFS 1mm Eik Fineer		AFS 1mm Eik Fineer	AFS 1mm Eik Fineer	00018353_2.cix		P-20	H1145_-_ST10_-_Chêne_Bardolino_naturel_Zijdewit_19#01
H1145_-_ST10_-_Chêne_Bardolino_naturel_Zijdewit_19	2500	1250	19	1	Langs	859	950	180	3	19165	1708	590	Verschuren - K5 - Front - 19165	H1145 - ST10 - Chêne Bardolino naturel Zijdewit	AFS 1mm Eik Fineer	AFS 1mm Eik Fineer	AFS 1mm Eik Fineer	AFS 1mm Eik Fineer	00019165_2.cix		P-20	H1145_-_ST10_-_Chêne_Bardolino_naturel_Zijdewit_19#01
H1145_-_ST10_-_Chêne_Bardolino_naturel_Zijdewit_19	2500	1250	19	1	Langs	859	300	180	4	18743	1708	589,5	Verschuren - K6 - Front - 18743	H1145 - ST10 - Chêne Bardolino naturel Zijdewit	AFS 1mm Eik Fineer		AFS 1mm Eik Fineer	AFS 1mm Eik Fineer	00018743_2.cix		P-20	H1145_-_ST10_-_Chêne_Bardolino_naturel_Zijdewit_19#01
