MATERIAL	SHEETLENGTH	SHEETWIDTH	SHEETTHICKNESS	GRAIN	GRAINSTR	X	Y	ROTATION	N	ID	PANELLENGTH	PANELWIDTH	DESCRIPTION	MATERIALNAME	EDGE_L1	EDGE_L2	EDGE_B1	EDGE_B2	CAM2	CAM3	PROJECT	SHEET	DESC1	DESC2	DESC3	DESC4	DESC5	DESC6	DESC7	DESC8	DESC9	DESC10
Melamine_18	2850	2100	18	0	Geen	2334	1813	0	1	1620	564	554	K1 - Bodem - 1620	Melamine_18	CV	CA	NA	NA	0001620_2.cix	0001620_3.cix	P2026.09	Melamine_18#02	Nr bon commande	Extra texte 2	Extra texte 3	Extra texte 4	Extra texte 5	Extra texte 6	Extra texte 7	Extra texte 8	Extra texte 9	Extra texte 10
Melamine_18	2850	2100	18	0	Geen	410	1813	180	2	1596	800	580	K1 - Zijkant links - 1596	Melamine_18	CV	CV	CV	CV	0001596_2.cix		P2026.09	Melamine_18#02	Nr bon commande	Extra texte 2	Extra texte 3	Extra texte 4	Extra texte 5	Extra texte 6	Extra texte 7	Extra texte 8	Extra texte 9	Extra texte 10
Melamine_18	2850	2100	18	0	Geen	1732	1813	0	3	4558	564	554	K2 - Bodem - 4558	Melamine_18	CV	CA	NA	NA	0004558_2.cix		P2026.09	Melamine_18#02	Nr bon commande	Extra texte 2	Extra texte 3	Extra texte 4	Extra texte 5	Extra texte 6	Extra texte 7	Extra texte 8	Extra texte 9	Extra texte 10
Melamine_18	2850	2100	18	0	Geen	292	1195	0	4	4717	564	554	K2 - Bodem - 4717	Melamine_18	CV	CA	NA	NA	0004717_2.cix		P2026.09	Melamine_18#02	Nr bon commande	Extra texte 2	Extra texte 3	Extra texte 4	Extra texte 5	Extra texte 6	Extra texte 7	Extra texte 8	Extra texte 9	Extra texte 10
Melamine_18	2850	2100	18	0	Geen	1130	1813	0	5	4876	564	554	K2 - Bodem - 4876	Melamine_18	CV	CA	NA	NA	0004876_2.cix		P2026.09	Melamine_18#02	Nr bon commande	Extra texte 2	Extra texte 3	Extra texte 4	Extra texte 5	Extra texte 6	Extra texte 7	Extra texte 8	Extra texte 9	Extra texte 10
