MATERIAL	SHEETLENGTH	SHEETWIDTH	SHEETTHICKNESS	GRAIN	GRAINSTR	X	Y	ROTATION	N	ID	PANELLENGTH	PANELWIDTH	DESCRIPTION	MATERIALNAME	EDGE_L1	EDGE_L2	EDGE_B1	EDGE_B2	CAM2	OPLEG2	PROJECT	SHEET	DESC1	DESC2	DESC3	DESC4	DESC5	DESC6	DESC7	DESC8	DESC9	DESC10
Paars_18	2500	1250	18	0	Geen	2185	932	90	1	18044	626	200	Verschuren - K1 - APL Links - 18044	Paars	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	00018044_2.cix		P-20	Paars_18#01										
Paars_18	2500	1250	18	0	Geen	2395	932	90	2	18164	626	200	Verschuren - K3 - APL Rechts - 18164	Paars	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	00018164_2.cix		P-20	Paars_18#01										
Paars_18	2500	1250	18	0	Geen	1238	1145	0	3	18081	1674	200	Verschuren - K4 - APL Links - 18081	Paars	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	00018081_2.cix		P-20	Paars_18#01										
Paars_18	2500	1250	18	0	Geen	1605	105	180	4	23990	1780	200	Verschuren - K6 - APL Plafond - 23990	Paars	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	00023990_2.cix		P-20	Paars_18#01										
Paars_18	2500	1250	18	0	Geen	1658	315	180	5	18201	1674	200	Verschuren - K6 - APL Rechts - 18201	Paars	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	00018201_2.cix		P-20	Paars_18#01										
Paars_18	2500	1250	18	0	Geen	1605	475	180	6	24001	1780	100	Verschuren - K6 - Afwerking Top - 24001	Paars	AFS 0.8mm Fin231	AFS 0.8mm Fin231	NA	NA	00024001_2.cix	OPLEG_2	P-20	Paars_18#01										
