MATERIAL	SHEETLENGTH	SHEETWIDTH	SHEETTHICKNESS	GRAIN	GRAINSTR	X	Y	ROTATION	N	ID	PANELLENGTH	PANELWIDTH	DESCRIPTION	MATERIALNAME	EDGE_L1	EDGE_L2	EDGE_B1	EDGE_B2	CAM2	OPLEG2	PROJECT	SHEET
White_9	3050	1300	9	0	Geen	2003	1009	0	1	14988	732	572	Verschuren - K1 - Rug - 14988	White	NA	NA	NA	NA	00014988_2.cix		P-20	White_9#01
White_9	3050	1300	9	0	Geen	2749	371	90	2	15050	732	592	Verschuren - K2 - Rug - 15050	White	NA	NA	NA	NA	00015050_2.cix		P-20	White_9#01
White_9	3050	1300	9	0	Geen	2077	293	180	3	15112	732	577	Verschuren - K3 - Rug - 15112	White	NA	NA	NA	NA	00015112_2.cix		P-20	White_9#01
White_9	3050	1300	9	0	Geen	841	301	180	4	16400	1672	592	Verschuren - K5 - Rug - 16400	White	NA	NA	NA	NA	00016400_2.cix		P-20	White_9#01
White_9	3050	1300	9	0	Geen	816	1007	180	5	17177	1622	577	Verschuren - K6 - Rug - 17177	White	NA	NA	NA	NA	00017177_2.cix		P-20	White_9#01
